47 Uma d,1.64,,14002,11.6,0.16,,0.830351,2010,8/27/14,110,2451736,,,Published in a refereed paper,Radial Velocity,,,,47 Uma,164.8708333,40.4294444,5.1,13.97,0,1.03,1.24,G0V,7.4,5892
51 Eri b,7,,14965,14,0.21,138,,2015,10/16/15,90,2452014.79,700,,Published in a refereed paper,Imaging,Spectrum,,"CH4, H2O",51 Eri,69.40055143,-2.473548598,5.223,29.4,-0.027,1.75,,F0IV,0.02,
51 Peg b,0.46,1.9,4.2308,0.052,0.0069,80,0.003537,1995,4/6/15,54.1,2450404.4,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,"H2O, CO",51 Peg,344.3625,20.7686111,5.49,14.7,0.2,1.11,1.266,G2 IV,4,5793
55 Cnc b,0.8,,14.651,0.1134,0.0159,,0.009303,1996,8/29/12,164,2453035,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc c,0.169,,44.3446,0.2403,0.053,,0.019473,2002,6/7/11,57.4,2449989.339,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc d,3.835,,5218,5.76,0.025,53,0.466775,2002,6/7/11,181.3,2452500.6,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc e,0.026177516,0.177536225,0.7365417,0.0156,0.06,85.4,0.001264,2004,12/1/15,170,2449999.836,,,Published in a refereed paper,Primary Transit,,,HCN,55 Cnc,133.1541667,28.3338889,5.95,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc f,0.144,,260.7,0.781,0.0002,,0.06329,2007,6/7/11,205,2450080.911,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
6 Lyn b,2.4,,899,2.2,0.134,2,0.038664,2008,8/27/14,27,2453309,,,Published in a refereed paper,Radial Velocity,,,,6 Lyn,97.6958333,58.1627778,5.86,56.9,-0.13,1.7,5.2,K0IV,,4978
61 Vir b,0.016,,4.215,0.050201,0.12,,0.005892,2009,12/15/09,105,2453369.166,,,Published in a refereed paper,Radial Velocity,,,,61 Vir,199.6,-18.3111111,4.74,8.52,-0.01,0.95,0.94,G5V,8.96,5531
61 Vir c,0.0573,,38.021,0.2175,0.14,,0.025528,2009,12/15/09,341,2453369.166,,,Published in a refereed paper,Radial Velocity,,,,61 Vir,199.6,-18.3111111,4.74,8.52,-0.01,0.95,0.94,G5V,8.96,5531
61 Vir d,0.072,,123.01,0.476,0.35,,0.055869,2009,12/15/09,314,2453369.166,,,Published in a refereed paper,Radial Velocity,,,,61 Vir,199.6,-18.3111111,4.74,8.52,-0.01,0.95,0.94,G5V,8.96,5531
7 CMa b,2.46,,796,1.93,0.22,,0.096203,2011,10/19/15,77,2454093,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,7 CMa,99.1708333,-19.2558333,3.96,19.75,0.21,1.52,2.3,K1 III,,4792
70 Vir b,6.6,,116.67,0.48,0.43,,0.021818,1996,12/29/10,2.1,2448990.403,,,Published in a refereed paper,Radial Velocity,,,,70 Vir,202.1083333,13.7866667,5,22,-0.11,0.92,1.968,G4 V,7.09,5432
75 Cet b,3,,691.9,2.1,,,,2012,9/3/12,,2452213,,,Published in a refereed paper,Radial Velocity,,,,75 Cet,38.0375,-1.035,5.36,81.5,0,2.49,10.5,G3III,,4846
8 Umi b,1.5,,93.4,0.49,0.06,,,2015,10/1/15,91,2454108.5,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,8 Umi,224.2,74.90083335,6.83,159.1,-0.03,1.8,9.9,K0,1.7,4847.4
81 Cet b,5.3,,952.7,2.5,0.206,,0.02572,2008,8/27/14,175,2452486,,,Published in a refereed paper,Radial Velocity,,,,81 Cet,39.425,-3.3961111,5.65,97.2,-0.06,2.4,11,G5III,,
91 Aqr b,3.2,,181.4,0.7,0.027,,0.006593,2003,8/21/15,177.3,2453472.1,,,Published in a refereed paper,Radial Velocity,,,,91 Aqr,348.9708333,-9.0875,4.21,45.9,-0.03,1.4,11,K0 III,3.56,4665
AB Pic b,13.5,,,275,,,5.813953,2005,12/6/10,,,,,Published in a refereed paper,Imaging,,,,AB Pic,94.8,-58.0541667,9.16,47.3,-0.64,,,K2 V,0.03,4875
Aldebaran b,6.47,,628.96,1.46,0.1,,0.1,1998,5/15/15,287,2451297,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,Aldebaran,68.9791667,16.5091667,0.85,20.43,-0.27,1.13,45.1,K5III,6.6,4055
BD +48 738 b,0.91,,392.6,1,0.2,,,2011,8/27/14,358.9,2454457.2,,,Submitted to a professional journal,Radial Velocity,,,,BD +48 738,40.7083333,49.5869444,9.14,,-0.2,0.74,11,K0III,,4414
BD+15 2940 b,1.11,,137.48,0.539,0.26,,,2013,4/30/13,302,2453464,,,Published in a refereed paper,Radial Velocity,,,,BD+15 2940,240.0958,15.5469,9.19,585,0.28,1.1,14.7,K0,7.1,4796
BD+20 274 c,4.2,,578.2,1.3,,,,2012,1/17/13,,2453920.5,,,Published in a refereed paper,Radial Velocity,,,,BD+20 274,25.9208333,21.005,9.36,,-0.46,0.8,17.3,K5,,4296
BD+20594 b,0.0513,0.199,41.6855,0.241,0,89.55,,2016,1/29/16,,,386,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,BD+20594,53.65000001,20.59916669,11,152.1,-0.15,0.961,0.928,,3.34,5766
BD+49 828 b,1.6,,2590,4.2,0.35,,,2015,7/26/15,170,2455470,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,BD+49 828,45.64166668,49.73000003,9.38,,-0.19,1.52,7.6,KO,2.3,4943
BD-061339 b,0.027,,3.8728,0.0428,0,,,2013,2/12/14,,2455220.5,,,Published in a refereed paper,Radial Velocity,,,,BD-061339,88.25,-5.9947,6.69,20,-0.14,0.7,,K7V/M0V,4.4,4324
BD-061339 c,0.17,,125.94,0.435,0,,,2013,2/12/14,,2455264.2,,,Published in a refereed paper,Radial Velocity,,,,BD-061339,88.25,-5.9947,6.69,20,-0.14,0.7,,K7V/M0V,4.4,4324
BD-082823 b,0.045,,5.6,0.056,0.15,,0.001327,2009,12/15/10,30,2454637.7,,,Submitted to a professional journal,Radial Velocity,,,,BD-082823,150.2,-9.5166667,9.86,42.2,-0.07,0.74,,K3V,4.5,4746
BD-082823 c,0.33,,237.6,0.68,0.19,,0.016114,2009,12/16/09,127,2454193,,,Submitted to a professional journal,Radial Velocity,,,,BD-082823,150.2,-9.5166667,9.86,42.2,-0.07,0.74,,K3V,4.5,4746
BD-10 3166 b,0.46,1.03,3.4878,0.046,0.0104,,0.000697,2000,2/24/15,345.4,2451844.7,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,BD-10 3166,164.6166667,-10.7702778,10.08,66,0.5,0.99,1.71,G4 V,4.18,5400
BD-114672 b,0.53,,1667,2.28,0.05,,0.091575,2010,1/8/15,,2455899,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,BD-114672,278.3708333,-11.63611113,10.02,27.3,-0.48,0.571,0.52,K7V,4.4,4475
BD-17 63 b,5.1,,655.6,1.34,0.54,,0.038728,2008,8/27/14,112.2,2454627.1,,,Published in a refereed paper,Radial Velocity,,,,BD-17 63,7.1416667,-16.2263889,9.62,34.6,-0.03,0.74,0.69,K5V,4.3,4714
BD14 4559 b,1.47,,268.94,0.777,0.29,,0.01554,2009,8/27/14,87.64,2453294.21,,,Published in a refereed paper,Radial Velocity,,,,BD14 4559,318.4,14.6894444,9.63,50,0.1,0.86,,K2V,,5008
BD20 2457 b,21.42,,379.63,1.45,0.15,,0.00725,2009,8/27/14,207.64,2454677.53,,,Published in a refereed paper,Radial Velocity,,,,BD20 2457,154.1875,19.8913889,9.75,200,-1,2.8,,K2II,,4127
BD20 2457 c,12.47,,621.99,2.01,0.18,,0.01005,2009,8/27/14,126.02,2453867.45,,,Published in a refereed paper,Radial Velocity,,,,BD20 2457,154.1875,19.8913889,9.75,200,-1,2.8,,K2II,,4127
CD-35 2722 b,31,,,67,,,3.14554,2011,2/23/11,,,,,Published in a refereed paper,Imaging,,,,CD-35 2722,92.33004292,-35.82533225,10.98,21.3,0.04,0.4,,M1V,0.1,3680
CFBDS 1458 b,6.5,,14600,2.6,,,0.112554,2011,9/28/11,,,,,Published in a refereed paper,Imaging,,,,CFBDS 1458,224.6208333,10.2286111,,23.1,,0.024,,T9.5,3,540
CHXR 73 b,12,,,200,,,,2006,5/25/14,,,,,Published in a refereed paper,Imaging,,,,CHXR 73,166.6208333,-77.6258333,,,,0.35,,M3.25,0.002,
CT Cha b,17,2.2,,440,,,2.666667,2008,9/24/08,,,,,Published in a refereed paper,Imaging,,,,CT Cha,166.0375,-76.4552778,12.36,165,,,,K7,0.002,
CoRoT-1 b,1.03,1.49,1.5089557,0.0254,0,85.1,5.50E-05,2007,1/24/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-1,102.0791667,-3.1022222,13.6,460,0.06,0.95,1.11,G0V,,6298
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,88.55,0.000306,2010,8/29/14,218.9,2454990.85,,,Published in a refereed paper,Primary Transit,,,,CoRoT-10,291.0625,0.7461111,15.22,345,0.26,0.89,0.79,K1V,3,5075
CoRoT-11 b,2.33,1.43,2.994325,0.04351,0,81.41,7.80E-05,2010,8/17/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-11,280.6875,5.9377778,12.94,560,0.04,1.56,1.36,F6V,2,6343
CoRoT-12 b,0.917,1.44,2.828042,0.04016,0.07,85.48,3.50E-05,2010,8/16/14,105,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-12,100.7666667,-1.2963889,15.52,1150,0.16,1.078,1.116,G2V,6.3,5675
CoRoT-13 b,1.308,0.885,4.03519,0.051,0,88.02,3.90E-05,2010,8/16/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-13,102.7208333,-5.0863889,15.04,1310,0.01,1.09,1.01,G0V,1.64,5945
CoRoT-14 b,7.6,1.09,1.51214,0.027,0,79.6,2.00E-05,2010,1/24/14,,2454787.67,,,Published in a refereed paper,Primary Transit,,,,CoRoT-14,103.425,-5.5361111,16.03,1340,0.05,1.13,1.21,F9V,4.2,6035
CoRoT-15 b,63.3,1.12,3.06036,0.045,0,86.7,,2010,9/23/15,,,1740,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CoRoT-15,97.11666668,6.186241673,,,,,,F7V,,
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,85.01,7.40E-05,2010,1/24/14,168.41,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-16,278.525,-6.0025,15.64,840,0.19,1.098,1.19,G5V,6.73,5650
CoRoT-17 b,2.43,1.02,3.768125,0.0461,0,88.34,5.00E-05,2010,1/24/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-17,278.6958333,-6.6122222,15.46,920,0,1.04,1.59,G2V,10.7,5740
CoRoT-18 b,3.47,1.31,1.9000693,0.0295,0.08,86.5,3.40E-05,2011,1/24/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-18,98.17083335,0.031388901,14.99,870,-0.1,0.95,1,G9V,,5440
CoRoT-19 b,1.11,1.29,3.89713,0.0518,0.047,87.61,6.50E-05,2011,1/24/14,86,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-19,97.03333334,0.170555562,14.78,800,-0.02,1.21,1.65,F9V,5,6090
CoRoT-2 b,3.31,1.465,1.7429964,0.0281,0,87.84,9.40E-05,2007,1/25/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-2,291.7791667,1.3838889,12.57,300,-0.04,0.97,0.902,G7V,,5575
CoRoT-20 b,4.24,0.84,9.24285,0.0902,0.562,88.21,7.30E-05,2011,7/10/14,56.3,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-20,97.730434,0.22692,14.66,1230,0.14,1.14,0.92,G2V,0.1,5880
CoRoT-21 b,2.26,1.3,2.72474,0.0417,0,86.8,,2011,1/24/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-21,101.05245,-0.29913,16,,0,1.29,1.945,F8IV,4.1,6200
CoRoT-22 b,0.0383853,0.435365216,9.75598,0.092,0.077,89.749,0.000149,2011,8/28/14,210,,885,,Announced on a professional conference,Primary Transit,,,,CoRoT-22,280.6666667,6.225000011,11.93,592,0.17,1.099,1.136,G0IV,3.3,5939
CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,85.7,8.00E-05,2011,1/26/14,51.8,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-23,279.782615,4.3578,15.63,600,0.05,1.14,1.61,G0V,7.2,5900
CoRoT-24 b,0.018,0.33,5.1134,0.056,0,86.5,9.30E-05,2011,7/8/14,,,1070,,Submitted to a professional journal,Primary Transit,,,,CoRoT-24,101.925,-3.719444461,,600,0.3,0.91,0.86,K1V,11,4950
CoRoT-24 c,0.088,0.44,11.759,0.098,0,89,0.000163,2011,7/8/14,,,850,,Submitted to a professional journal,Primary Transit,,,,CoRoT-24,101.925,-3.719444461,,600,0.3,0.91,0.86,K1V,11,4950
